InstrumentID,UpdateTime,LastPrice,Volume,BidPrice1,BidVolume1,AskPrice1,AskVolume1,OpenInterest,Turnover
cu1803,10:33:18.0,51390,75414,51390,17,51400,14,171798,19521
cu1803,10:33:19.0,51400,75450,51400,1,51410,40,171798,19530.3
cu1803,10:33:19.500,51400,75456,51400,3,51410,42,171800,19531.8
cu1803,10:33:20.0,51410,75464,51400,4,51410,36,171806,19533.9
cu1803,10:33:20.500,51400,75480,51390,4,51410,11,171796,19538
cu1803,10:33:21.0,51400,75486,51400,9,51410,5,171796,19539.5
cu1803,10:33:21.500,51410,75494,51400,15,51410,3,171794,19541.6
cu1803,10:33:22.0,51400,75496,51400,16,51410,9,171796,19542.1
cu1803,10:33:23.0,51400,75550,51400,6,51410,15,171816,19556
cu1803,10:33:23.500,51400,75562,51390,14,51410,42,171824,19559.1
